10/23/2012 9:34:48,Terça-feira,0,12:20:00,Computação,Não
10/23/2012 9:34:52,Terça-feira,0,12:20:00,Computação,Não
10/23/2012 9:38:24,Segunda-feira,40,12:00:00,Computação,Não
10/23/2012 9:39:16,Segunda-feira,45,11:00:00,Computação,Não
10/23/2012 13:40:01,Segunda-feira,15,13:00:00,Computação,Não
10/23/2012 13:40:22,Terça-feira,0,12:35:00,Computação,Não
10/23/2012 13:41:27,Quarta-feira,30,12:05:00,Computação,Não
10/23/2012 13:44:34,Quarta-feira,60,12:00:00,Computação,Não
10/23/2012 13:45:13,Terça-feira,5,12:05:00,Computação,Não
10/23/2012 13:48:27,Segunda-feira,30,11:20:00,Computação,Não
10/23/2012 13:53:57,Sexta-feira,33,12:00:00,Computação,Não
10/23/2012 13:55:54,Sexta-feira,45,11:30:00,Computação,Não
10/23/2012 14:15:44,Segunda-feira,30,12:00:00,Computação,Não
10/23/2012 14:16:15,Sexta-feira,33,12:05:00,Computação,Não
10/23/2012 14:19:46,Terça-feira,1,12:15:00,Computação,Não
10/23/2012 14:24:03,Terça-feira,1,12:10:00,Computação,Não
10/23/2012 14:24:38,Segunda-feira,40,11:00:00,engenharia elétrica,Não
10/23/2012 14:25:39,Segunda-feira,30,12:00:00,computação,Sim
10/23/2012 14:25:50,Terça-feira,25,11:45:00,Computação,Não
10/23/2012 14:38:18,Segunda-feira,30,11:45:00,Engenharia Civil,Não
10/23/2012 15:10:19,Terça-feira,5,11:30:00,Geografia,Não
10/23/2012 15:15:50,Terça-feira,10,11:50:00,Geografia,Não
10/23/2012 15:22:30,Quarta-feira,5,12:38:00,nenhum,Não
10/23/2012 15:23:01,Segunda-feira,0,13:30:00,agronomia,Não
10/23/2012 15:30:43,Segunda-feira,30,12:10:00,Fisica,Não
10/23/2012 15:44:39,Terça-feira,5,11:40:00,computacao,Não
10/23/2012 15:47:14,Terça-feira,5,12:15:00,Computação,Não
10/23/2012 15:47:44,Quinta-feira,40,12:20:00,Engenharia de Alimentos,Sim
10/23/2012 15:49:41,Sexta-feira,60,11:30:00,Engenharia de Pesca,Não
10/23/2012 15:54:18,Terça-feira,30,12:30:00,Ecologia,Não
10/23/2012 15:58:28,Quinta-feira,60,12:00:00,Computação,Não
10/23/2012 15:58:46,Segunda-feira,40,12:00:00,Engenharia de Pesca,Não
10/23/2012 16:00:18,Terça-feira,45,12:00:00,eng. de teleinformática,Não
10/23/2012 16:03:45,Quarta-feira,60,13:00:00,Física,Não
10/23/2012 16:28:23,Segunda-feira,15,12:00:00,Física,Sim
10/23/2012 16:38:45,Quinta-feira,15,12:00:00,Computação,Não
10/23/2012 16:46:08,Segunda-feira,30,13:00:00,Computação,Não
10/23/2012 16:46:33,Terça-feira,1,11:50:00,Computação,Não
10/23/2012 16:54:21,Quinta-feira,30,12:10:00,Engenharia Química,Não
10/23/2012 17:13:32,Quarta-feira,40,11:55:00,Engenharia Elétrica,Não
10/23/2012 17:31:50,Segunda-feira,13,11:50:00,Geologia,Não
10/23/2012 18:09:32,Terça-feira,0,11:10:00,computação,Não
10/23/2012 19:30:25,Segunda-feira,40,12:00:00,engenharia de alimentos,Não
10/23/2012 19:43:19,Terça-feira,0,13:40:00,Engenharia Química,Não
10/23/2012 19:48:10,Segunda-feira,30,12:00:00,AGRONOMIA,Sim
10/23/2012 19:49:16,Terça-feira,20,11:40:00,Jornalismo,Não
10/23/2012 19:55:43,Segunda-feira,10,12:10:00,Computação,Sim
10/23/2012 20:07:01,Terça-feira,2,11:45:00,Matemática Industrial,Não
10/23/2012 20:20:16,Segunda-feira,45,11:40:00,Engenharia de Alimentos,Sim
10/23/2012 20:32:49,Segunda-feira,35,12:05:00,ciencias biologicas,Não
10/23/2012 20:36:32,Terça-feira,2,11:55:00,computação,Não
10/23/2012 20:53:57,Terça-feira,5,11:30:00,Engenharia Química,Não
10/23/2012 20:56:38,Segunda-feira,20,12:15:00,Geologia,Sim
10/23/2012 21:04:13,Quarta-feira,25,12:00:00,física,Não
10/23/2012 21:08:06,Segunda-feira,30,12:30:00,Computação,Sim
10/23/2012 22:28:28,Segunda-feira,30,12:10:00,engenharia química,Não
10/23/2012 23:12:45,Segunda-feira,35,11:35:00,quimica,Não
10/24/2012 0:09:24,Segunda-feira,20,12:30:00,engenharia civil,Não
10/24/2012 9:56:42,Quinta-feira,40,11:50:00,MDCC,Não
10/24/2012 9:56:46,Quinta-feira,40,11:50:00,MDCC,Não
10/24/2012 14:18:01,Quarta-feira,0,12:45:00,Computação,Não
10/24/2012 14:21:19,Quarta-feira,10,12:40:00,Computação,Não
10/24/2012 14:22:51,Quarta-feira,10,13:00:00,Computação,Não
10/24/2012 14:31:08,Quarta-feira,2,11:16:00,Computação,Não
10/24/2012 14:32:52,Quarta-feira,0,12:45:00,Engenharia de Alimentos,Não
10/24/2012 14:38:48,Quarta-feira,40,13:10:00,Me. Ciencia da Computação,Não
10/24/2012 14:54:35,Quinta-feira,38,12:00:00,Oceanografia,Não
10/24/2012 15:12:31,Quarta-feira,30,12:00:00,Letras,Não
10/24/2012 16:01:36,Quarta-feira,0,11:20:00,Engenharia Química,Não
10/24/2012 16:30:57,Segunda-feira,40,12:00:00,Eng. Química,Sim
10/24/2012 17:51:04,Quarta-feira,10,12:40:00,Computação,Não
10/24/2012 18:21:16,Quarta-feira,10,12:00:00,Computação,Não
10/24/2012 18:59:20,Quarta-feira,25,13:20:00,Engenharia de Produção Mecânica,Não
10/24/2012 19:40:44,Quarta-feira,5,11:40:00,Engenharia Eletrica,Não
10/24/2012 20:14:59,Quarta-feira,35,11:45:00,Engenharia de Alimentos,Não
10/24/2012 20:14:59,Quarta-feira,35,11:45:00,Engenharia de Alimentos,Não
10/24/2012 20:38:10,Quarta-feira,30,12:00:00,Física,Sim
10/24/2012 21:01:19,Quarta-feira,5,11:00:00,Engenharia Civil,Não
10/24/2012 21:13:59,Quarta-feira,25,12:00:00,educação física,Não
10/24/2012 21:14:30,Quinta-feira,45,12:00:00,46,Sim
10/24/2012 21:14:30,Quarta-feira,40,12:30:00,Educação Física,Sim
10/24/2012 21:15:45,Terça-feira,45,11:35:00,Educação Física,Não
10/24/2012 21:17:09,Quarta-feira,15,11:55:00,Educação física ,Sim
10/24/2012 21:21:02,Quarta-feira,15,12:20:00,odontologia,Não
10/24/2012 21:24:10,Quarta-feira,4,12:45:00,Educação Fisica,Não
10/24/2012 21:33:56,Segunda-feira,40,12:10:00,Educação Física,Não
10/24/2012 21:40:29,Segunda-feira,30,12:10:00,educação física,Não
10/24/2012 21:57:27,Quinta-feira,45,11:50:00,Agronomia,Não
10/24/2012 22:31:44,Quarta-feira,50,13:00:00,engenharia civil,Não
10/24/2012 22:34:14,Segunda-feira,45,12:00:00,Engenharia Civil ,Sim
10/24/2012 22:37:45,Quarta-feira,40,13:10:00,Engenharia Elétrica,Não
10/24/2012 23:53:18,Quarta-feira,40,13:00:00,Design de Moda,Não
10/25/2012 4:51:42,Quarta-feira,50,13:00:00,ZOOTECNIA,Não
10/25/2012 9:12:47,Quarta-feira,43,12:07:00,Engenharia Mecânica,Não
10/25/2012 12:18:33,Quinta-feira,60,12:40:00,Engenharia Elétrica,Não
10/25/2012 12:38:22,Terça-feira,15,13:00:00,Engenharia de Produção Mecânica,Não
10/25/2012 12:43:28,Quinta-feira,0,11:00:00,zootecnia,Não
10/25/2012 13:17:10,Quinta-feira,60,12:00:00,Agronomia,Não
10/25/2012 13:44:50,Quinta-feira,0,13:05:00,Computação,Não
10/25/2012 13:44:58,Quinta-feira,2,13:05:00,computacao,Não
10/25/2012 13:44:59,Quinta-feira,0,13:00:00,Computação,Não
10/25/2012 13:50:47,Quinta-feira,20,12:35:00,Engenharia Química,Não
10/25/2012 13:58:35,Quinta-feira,5,13:10:00,Computação Marota,Não
10/25/2012 14:35:26,Quinta-feira,4,11:40:00,Estatística,Não
10/25/2012 16:12:59,Quinta-feira,20,12:15:00,Engenharia Elétrica,Não
10/25/2012 16:26:34,Quinta-feira,15,11:30:00,Farmácia,Não
10/25/2012 16:47:19,Quinta-feira,0,11:50:00,geologia,Não
10/25/2012 17:29:38,Quinta-feira,2,12:00:00,Biotecnologia,Não
10/25/2012 19:30:37,Quinta-feira,40,12:45:00,geologia,Não
10/25/2012 19:36:39,Quinta-feira,13,11:00:00,cultura hispânica,Não
10/25/2012 19:37:05,Quinta-feira,10,12:20:00,odontologia,Sim
10/25/2012 19:47:14,Quarta-feira,30,11:00:00,Agronomia,Não
10/25/2012 20:08:52,Segunda-feira,40,12:00:00,Engenharia de Petróleo,Sim
10/25/2012 20:22:34,Quinta-feira,10,11:30:00,Biotecnologia,Não
10/25/2012 21:15:14,Quinta-feira,30,11:40:00,Engenharia Química,Não
10/25/2012 22:56:19,Terça-feira,20,11:45:00,engenharia química,Sim
10/26/2012 15:19:10,Terça-feira,90,11:30:00,letras,Sim
10/26/2012 17:03:43,Sexta-feira,15,12:00:00,Educaçao Física,Sim
10/26/2012 17:26:11,Sexta-feira,15,11:50:00,odontologia,Sim
10/26/2012 18:44:16,Sexta-feira,2,13:15:00,ciências biológicas,Não
10/26/2012 20:03:16,Sexta-feira,15,12:00:00,Ciências Biológicas,Não
10/26/2012 21:57:40,Sexta-feira,25,11:55:00,eng química,Sim
10/26/2012 22:16:36,Sexta-feira,8,11:34:00,Computacao,Não
10/27/2012 0:01:16,Sexta-feira,40,12:00:00,engenharia civil,Não
10/27/2012 11:20:20,Quinta-feira,30,11:45:00,Geologia,Não
10/27/2012 14:19:20,Sexta-feira,25,12:05:00,engenharia civil,Não
10/29/2012 10:27:40,Quinta-feira,60,12:00:00,química,Não
10/29/2012 10:30:22,Terça-feira,45,11:30:00,zootecnia,Sim
10/29/2012 10:31:25,Quarta-feira,40,12:30:00,Engenharia de Energias e Meio Ambiente,Não
10/29/2012 10:36:04,Terça-feira,40,12:00:00,Engenharia de Teleinformática,Sim
10/29/2012 10:43:20,Terça-feira,2,12:00:00,estatistica,Sim
10/29/2012 11:26:44,Terça-feira,20,12:15:00,quimica,Não
10/29/2012 11:31:18,Terça-feira,45,11:00:00,Engenharia Metalúrgica,Não
10/29/2012 11:52:12,Segunda-feira,1,11:30:00,Computação,Não
10/29/2012 12:35:15,Segunda-feira,5,12:00:00,Engenharia de Alimentos,Não
10/29/2012 12:39:54,Segunda-feira,1,11:45:00,Computação,Não
10/29/2012 12:40:13,Segunda-feira,7,11:50:00,Computação,Não
10/29/2012 13:16:10,Segunda-feira,10,11:50:00,Engenharia de Alimentos,Não
10/29/2012 13:19:39,Sexta-feira,30,11:30:00,Engenharia Mecânica,Sim
10/29/2012 15:51:22,Segunda-feira,15,11:55:00,EEMA,Não
10/29/2012 18:21:48,Segunda-feira,35,12:00:00,Engenharia Elétrica,Não
10/29/2012 18:25:39,Segunda-feira,15,11:45:00,computacao,Não
10/29/2012 18:53:46,Segunda-feira,1,11:33:00,design de moda,Não
10/29/2012 19:05:44,Segunda-feira,3,12:15:00,Ciencias biologicas,Não
10/29/2012 19:08:33,Sexta-feira,19,12:16:00,Ciencias biologicas,Sim
10/29/2012 19:47:04,Segunda-feira,15,12:15:00,Sistemas e Mídias Digitais,Não
10/29/2012 19:50:33,Segunda-feira,2,11:43:00,Geologia,Não
10/29/2012 19:55:24,Terça-feira,20,12:00:00,Engenharia de Alimentos,Não
10/29/2012 20:57:20,Segunda-feira,10,12:10:00,Engenharia Elétrica,Não
10/29/2012 21:01:00,Quarta-feira,40,12:15:00,eng civil,Não
10/29/2012 21:30:52,Segunda-feira,15,11:54:00,engenharia de pesca,Sim
10/29/2012 23:25:24,Segunda-feira,22,12:06:00,Educação Fìsica,Sim
10/30/2012 11:14:31,Segunda-feira,40,12:00:00,Fisica,Não
10/30/2012 19:32:25,Terça-feira,20,12:20:00,Computação,Sim
10/30/2012 19:34:58,Terça-feira,20,12:00:00,Agronomia,Não
10/30/2012 19:52:37,Segunda-feira,30,10:30:00,farmácia,Não
10/30/2012 20:08:59,Terça-feira,0,13:30:00,Engenharia Mecânica,Não
10/30/2012 20:21:46,Quinta-feira,20,12:40:00,engenharia,Não
10/30/2012 20:36:40,Terça-feira,0,13:30:00,Engenharia Civil,Não
10/30/2012 20:44:09,Terça-feira,3,11:30:00,Engenharia Civil,Não
10/30/2012 20:49:46,Sexta-feira,0,13:30:00,eng. produção,Não
10/30/2012 21:12:58,Terça-feira,10,11:25:00,Eng Quimica,Não
10/30/2012 21:36:57,Terça-feira,30,12:00:00,agronomia,Não
10/30/2012 21:37:39,Terça-feira,3,12:40:00,Ciências Biológicas,Não
10/30/2012 21:39:09,Terça-feira,0,13:45:00,Ciencias Sociais,Não
10/30/2012 21:39:51,Terça-feira,2,13:00:00,Design de Moda,Não
10/30/2012 21:44:24,Terça-feira,5,12:35:00,engenharia mecânica,Não
10/30/2012 21:44:50,Quinta-feira,20,11:20:00,Farmácia,Não
10/30/2012 21:45:08,Terça-feira,5,11:35:00,Eng de pesca,Não
10/30/2012 21:46:37,Quarta-feira,45,11:30:00,Engenharia Química,Sim
10/30/2012 21:47:40,Quinta-feira,15,12:00:00,Ecologia,Não
10/30/2012 21:50:34,Terça-feira,10,11:25:00,Agronomia,Não
10/30/2012 21:53:38,Terça-feira,20,12:05:00,Química,Não
10/30/2012 21:58:35,Sexta-feira,50,11:50:00,Economia domestica,Não
10/30/2012 22:19:34,Terça-feira,15,12:00:00,engenharia química,Sim
10/30/2012 22:40:33,Segunda-feira,0,13:00:00,engenharia de alimentos,Não
10/30/2012 22:53:03,Terça-feira,0,13:30:00,Eng. de Pesca,Não
10/30/2012 23:01:22,Terça-feira,40,12:00:00,Engenharia Mecânica,Não
10/30/2012 23:12:14,Terça-feira,7,13:12:00,Química,Não
10/30/2012 23:21:13,Segunda-feira,15,12:00:00,Biotecnologia,Sim
10/30/2012 23:33:15,Segunda-feira,18,12:00:00,química bacharelado,Não
10/31/2012 8:37:44,Terça-feira,50,12:10:00,Engenharia,Não
10/31/2012 8:37:51,Terça-feira,30,12:10:00,Funcionário,Sim
10/31/2012 8:37:56,Terça-feira,30,12:10:00,Funcionário,Não
10/31/2012 10:20:54,Quarta-feira,45,12:15:00,Geografia,Não
10/31/2012 11:35:47,Sexta-feira,10,11:20:00,engenharia mecânica,Não
10/31/2012 13:08:10,Terça-feira,30,12:10:00,computação,Não
10/31/2012 13:31:12,Terça-feira,0,13:10:00,Engenharia de Pesca,Não
10/31/2012 14:13:35,Quarta-feira,5,11:01:00,Engenharia Mecânica,Não
10/31/2012 14:20:51,Quarta-feira,0,11:30:00,Eng. Mecanica,Não
10/31/2012 14:27:21,Quarta-feira,0,12:50:00,Engenharia de Alimentos,Não
10/31/2012 18:35:03,Quarta-feira,20,12:00:00,engenharia de alimentos,Não
10/31/2012 18:38:07,Quarta-feira,25,12:20:00,Ciências Biológicas,Não
10/31/2012 19:02:08,Quarta-feira,20,11:50:00,Geografia,Sim
10/31/2012 19:15:56,Terça-feira,30,12:15:00,fisica,Não
10/31/2012 19:21:12,Terça-feira,10,12:10:00,física,Sim
10/31/2012 19:42:01,Quarta-feira,10,11:50:00,Biotecnologia,Não
10/31/2012 19:53:36,Quinta-feira,20,12:20:00,Engenharia de pesca,Sim
10/31/2012 19:53:36,Quinta-feira,20,12:20:00,Engenharia de pesca,Sim
10/31/2012 19:53:36,Quinta-feira,20,12:20:00,Engenharia de pesca,Sim
10/31/2012 19:53:36,Quinta-feira,20,12:20:00,Engenharia de pesca,Sim
10/31/2012 20:13:57,Quarta-feira,1,11:36:00,Geologia,Não
10/31/2012 20:30:28,Quinta-feira,20,12:45:00,Sistemas e Mídias Digitais,Não
11/1/2012 0:23:15,Terça-feira,30,12:10:00,Engenharia de Energias e Meio Ambiente,Não
11/1/2012 15:05:16,Quinta-feira,6,12:57:00,Engenharia Mecânica,Não
11/1/2012 15:15:22,Quarta-feira,9,13:05:00,Jornalismo,Não
11/1/2012 17:25:57,Quinta-feira,15,12:30:00,Engenharia de Teleinformática,Não
11/1/2012 18:39:02,Quinta-feira,15,12:25:00,Odontologia,Não
11/1/2012 21:08:33,Quinta-feira,10,12:55:00,Engenharia de Alimentos,Não
11/2/2012 23:49:04,Quinta-feira,40,12:20:00,engenharia civil,Não
11/3/2012 17:50:41,Sexta-feira,0,13:00:00,Computação,Não
11/5/2012 12:58:21,Segunda-feira,0,11:40:00,Computação,Não
11/5/2012 12:58:40,Segunda-feira,5,11:40:00,Computação,Não
11/6/2012 1:38:03,Segunda-feira,1,11:35:00,Geologia,Não
11/7/2012 6:39:03,Terça-feira,7,13:06:00,Engenharia Mecânica,Não
